Order ID,Date,Item Name,Item Type,Item_Price,Quantity,Revenue,Transaction_Type,Received_by,Time_of_sale,Month,Day
96,"Monday, August 22, 2022",Sandwich,Fastfood,60,15,900,Cash,Mr.,Morning,Aug,Mon
138,"Thursday, September 1, 2022",Sandwich,Fastfood,60,15,900,Online,Mr.,Night,Sep,Thu
361,"Thursday, June 30, 2022",Sandwich,Fastfood,60,15,900,Cash,Mrs.,Night,Jun,Thu
477,"Monday, February 13, 2023",Sandwich,Fastfood,60,15,900,Cash,Mrs.,Midnight,Feb,Mon
492,"Monday, July 11, 2022",Sandwich,Fastfood,60,15,900,Cash,Mr.,Afternoon,Jul,Mon
544,"Wednesday, December 14, 2022",Sandwich,Fastfood,60,15,900,Online,Mrs.,Morning,Dec,Wed
572,"Saturday, April 2, 2022",Sandwich,Fastfood,60,15,900,Cash,Mr.,Afternoon,Apr,Sat
586,"Sunday, May 22, 2022",Sandwich,Fastfood,60,15,900,Online,Mr.,Night,May,Sun
625,"Friday, June 17, 2022",Sandwich,Fastfood,60,15,900,Online,Mr.,Morning,Jun,Fri
640,"Wednesday, January 4, 2023",Sandwich,Fastfood,60,15,900,Online,Mr.,Night,Jan,Wed
710,"Wednesday, March 15, 2023",Sandwich,Fastfood,60,15,900,Cash,Mr.,Night,Mar,Wed
826,"Friday, December 2, 2022",Sandwich,Fastfood,60,15,900,Cash,Mrs.,Night,Dec,Fri
894,"Sunday, March 19, 2023",Sandwich,Fastfood,60,15,900,Cash,Mr.,Morning,Mar,Sun
906,"Monday, April 4, 2022",Sandwich,Fastfood,60,15,900,Cash,Mr.,Afternoon,Apr,Mon
48,"Thursday, February 23, 2023",Sandwich,Fastfood,60,14,840,Online,Mr.,Afternoon,Feb,Thu
145,"Sunday, October 9, 2022",Sandwich,Fastfood,60,14,840,Online,Mr.,Morning,Oct,Sun
388,"Sunday, October 9, 2022",Sandwich,Fastfood,60,14,840,Cash,Mr.,Evening,Oct,Sun
445,"Saturday, October 22, 2022",Sandwich,Fastfood,60,14,840,Online,Mrs.,Morning,Oct,Sat
510,"Monday, April 4, 2022",Sandwich,Fastfood,60,14,840,Online,Mr.,Afternoon,Apr,Mon
615,"Sunday, August 14, 2022",Sandwich,Fastfood,60,14,840,Cash,Mr.,Morning,Aug,Sun
748,"Tuesday, September 20, 2022",Sandwich,Fastfood,60,14,840,Cash,Mrs.,Night,Sep,Tue
768,"Thursday, January 12, 2023",Sandwich,Fastfood,60,14,840,Cash,Mr.,Afternoon,Jan,Thu
786,"Monday, March 13, 2023",Sandwich,Fastfood,60,14,840,Online,Mrs.,Night,Mar,Mon
914,"Wednesday, March 1, 2023",Sandwich,Fastfood,60,14,840,Cash,Mr.,Night,Mar,Wed
148,"Sunday, March 19, 2023",Sandwich,Fastfood,60,13,780,Online,Mr.,Evening,Mar,Sun
270,"Wednesday, September 7, 2022",Sandwich,Fastfood,60,13,780,Cash,Mr.,Evening,Sep,Wed
308,"Saturday, December 17, 2022",Sandwich,Fastfood,60,13,780,Online,Mr.,Evening,Dec,Sat
545,"Sunday, January 1, 2023",Sandwich,Fastfood,60,13,780,Online,Mrs.,Midnight,Jan,Sun
591,"Saturday, October 1, 2022",Sandwich,Fastfood,60,13,780,Cash,Mrs.,Morning,Oct,Sat
650,"Thursday, April 7, 2022",Sandwich,Fastfood,60,13,780,Online,Mrs.,Morning,Apr,Thu
765,"Wednesday, June 15, 2022",Sandwich,Fastfood,60,13,780,Cash,Mr.,Night,Jun,Wed
779,"Monday, January 16, 2023",Sandwich,Fastfood,60,13,780,Cash,Mr.,Night,Jan,Mon
998,"Thursday, January 26, 2023",Sandwich,Fastfood,60,13,780,Cash,Mr.,Evening,Jan,Thu
51,"Monday, May 16, 2022",Frankie,Fastfood,50,15,750,Online,Mrs.,Morning,May,Mon
198,"Thursday, January 5, 2023",Frankie,Fastfood,50,15,750,Cash,Mr.,Morning,Jan,Thu
319,"Thursday, June 30, 2022",Frankie,Fastfood,50,15,750,Cash,Mr.,Afternoon,Jun,Thu
327,"Tuesday, November 29, 2022",Frankie,Fastfood,50,15,750,Cash,Mrs.,Midnight,Nov,Tue
376,"Sunday, December 4, 2022",Frankie,Fastfood,50,15,750,Cash,Mr.,Midnight,Dec,Sun
396,"Monday, October 31, 2022",Frankie,Fastfood,50,15,750,Online,Mr.,Morning,Oct,Mon
683,"Friday, August 12, 2022",Frankie,Fastfood,50,15,750,Cash,Mr.,Midnight,Aug,Fri
867,"Thursday, January 26, 2023",Frankie,Fastfood,50,15,750,Cash,Mr.,Midnight,Jan,Thu
905,"Tuesday, December 13, 2022",Frankie,Fastfood,50,15,750,Cash,Mrs.,Midnight,Dec,Tue
913,"Wednesday, February 15, 2023",Frankie,Fastfood,50,15,750,Online,Mr.,Evening,Feb,Wed
926,"Monday, February 27, 2023",Frankie,Fastfood,50,15,750,Cash,Mrs.,Afternoon,Feb,Mon
389,"Thursday, December 22, 2022",Sandwich,Fastfood,60,12,720,Cash,Mrs.,Evening,Dec,Thu
